Date,Open,High,Low,Close,Adj Close,Volume
2015-07-31,13612.450195,13759.849609,13612.450195,13728.650391,13728.650391,0
2015-08-03,13771.650391,13895.799805,13766.549805,13831.799805,13831.799805,0
2015-08-04,13891.299805,14046.349609,13831.349609,14029.849609,14029.849609,0
2015-08-05,14118.450195,14215.599609,14118.450195,14149.849609,14149.849609,0
2015-08-06,14191.000000,14203.849609,14094.450195,14137.400391,14137.400391,0
2015-08-07,14151.950195,14197.299805,14092.200195,14114.950195,14114.950195,0
2015-08-10,14159.799805,14237.599609,14058.849609,14100.750000,14100.750000,0
2015-08-11,14154.299805,14165.799805,13919.599609,14007.750000,14007.750000,0
2015-08-12,13971.700195,13971.700195,13655.950195,13684.900391,13684.900391,0
2015-08-13,13757.349609,13859.450195,13597.650391,13636.950195,13636.950195,0
2015-08-14,13721.099609,13931.000000,13671.549805,13917.099609,13917.099609,0
2015-08-17,13961.849609,14005.799805,13813.349609,13977.349609,13977.349609,0
2015-08-18,14049.700195,14106.349609,13963.500000,14048.750000,14048.750000,0
2015-08-19,14064.299805,14145.799805,14007.950195,14076.700195,14076.700195,0
2015-08-20,14074.450195,14113.650391,13821.849609,13831.750000,13831.750000,0
2015-08-21,13696.650391,13762.400391,13551.150391,13749.150391,13749.150391,0
2015-08-24,13315.349609,13315.349609,12492.549805,12543.150391,12543.150391,0
2015-08-25,12715.349609,12842.700195,12154.849609,12790.900391,12790.900391,0
2015-08-26,12775.450195,12966.400391,12582.700195,12756.099609,12756.099609,0
2015-08-27,12989.799805,13123.500000,12927.400391,13105.299805,13105.299805,0
2015-08-28,13240.650391,13311.450195,13049.950195,13134.299805,13134.299805,0
2015-08-31,13128.549805,13201.200195,13006.900391,13059.099609,13059.099609,0
2015-09-01,12951.150391,13064.299805,12687.750000,12787.099609,12787.099609,0
2015-09-02,12892.099609,12926.950195,12718.900391,12735.200195,12735.200195,0
2015-09-03,12836.599609,12925.400391,12819.000000,12876.799805,12876.799805,0
2015-09-04,12880.950195,12880.950195,12486.500000,12591.799805,12591.799805,270200
2015-09-07,12631.400391,12658.650391,12308.799805,12319.099609,12319.099609,0
2015-09-08,12355.950195,12464.349609,12133.750000,12397.900391,12397.900391,0
2015-09-09,12584.099609,12697.799805,12569.349609,12648.500000,12648.500000,0
2015-09-10,12489.700195,12705.049805,12379.750000,12670.000000,12670.000000,0
2015-09-11,12761.700195,12832.049805,12668.200195,12709.200195,12709.200195,0
2015-09-14,12788.950195,12890.799805,12737.099609,12884.700195,12884.700195,0
2015-09-15,12903.549805,12949.400391,12757.549805,12785.150391,12785.150391,0
2015-09-16,null,null,null,null,null,null
2015-09-18,12807.650391,12901.450195,12739.150391,12757.150391,12757.150391,0
2015-09-21,12692.900391,12847.450195,12669.950195,12831.450195,12831.450195,0
2015-09-22,12915.950195,12927.700195,12609.950195,12655.150391,12655.150391,0
2015-09-23,12530.799805,12762.200195,12506.950195,12735.400391,12735.400391,0
2015-09-24,null,null,null,null,null,null
2015-09-28,12792.849609,12851.700195,12714.250000,12727.250000,12727.250000,0
2015-09-29,12591.200195,12813.049805,12534.650391,12741.049805,12741.049805,0
2015-09-30,12847.599609,12993.250000,12834.799805,12984.500000,12984.500000,0
2015-10-01,null,null,null,null,null,null
2015-10-05,13099.349609,13291.099609,13099.349609,13272.099609,13272.099609,0
2015-10-06,13346.450195,13376.750000,13278.150391,13335.099609,13335.099609,0
2015-10-07,13355.450195,13395.349609,13315.799805,13352.200195,13352.200195,0
2015-10-08,13384.700195,13384.700195,13213.950195,13266.150391,13266.150391,0
2015-10-09,13354.349609,13394.400391,13218.049805,13255.500000,13255.500000,0
2015-10-12,13299.000000,13318.150391,13212.450195,13243.400391,13243.400391,0
2015-10-13,13269.349609,13274.750000,13170.500000,13245.400391,13245.400391,0
2015-10-14,13244.849609,13285.549805,13200.700195,13225.900391,13225.900391,0
2015-10-15,13285.349609,13304.849609,13247.049805,13266.299805,13266.299805,0
2015-10-16,13328.799805,13337.250000,13270.200195,13332.099609,13332.099609,0
2015-10-19,13381.000000,13450.049805,13361.799805,13439.700195,13439.700195,0
2015-10-20,13483.400391,13533.700195,13432.250000,13486.549805,13486.549805,0
2015-10-21,13520.650391,13558.450195,13408.700195,13464.549805,13464.549805,0
2015-10-23,13569.400391,13570.150391,13418.750000,13428.200195,13428.200195,0
2015-10-26,13479.000000,13479.000000,13337.400391,13363.450195,13363.450195,0
2015-10-27,13346.099609,13382.299805,13329.650391,13373.549805,13373.549805,0
2015-10-28,13361.049805,13392.700195,13259.599609,13317.400391,13317.400391,0
2015-10-29,13326.849609,13337.500000,13246.549805,13262.450195,13262.450195,0
2015-10-30,13303.000000,13362.849609,13201.099609,13238.500000,13238.500000,0
2015-11-02,13254.400391,13256.650391,13105.799805,13206.549805,13206.549805,0
2015-11-03,13276.900391,13286.400391,13212.799805,13263.799805,13263.799805,0
2015-11-04,13322.950195,13351.700195,13255.049805,13270.549805,13270.549805,0
2015-11-05,13271.950195,13271.950195,13060.000000,13076.349609,13076.349609,0
2015-11-06,null,null,null,null,null,null
2015-11-09,null,null,null,null,null,null
2015-11-10,null,null,null,null,null,null
2015-11-13,null,null,null,null,null,null
2015-11-16,null,null,null,null,null,null
2015-11-17,null,null,null,null,null,null
2015-11-18,null,null,null,null,null,null
2015-11-19,null,null,null,null,null,null
2015-11-20,null,null,null,null,null,null
2015-11-23,null,null,null,null,null,null
2015-11-24,null,null,null,null,null,null
2015-11-26,null,null,null,null,null,null
2015-11-27,null,null,null,null,null,null
2015-11-30,null,null,null,null,null,null
2015-12-01,null,null,null,null,null,null
2015-12-02,null,null,null,null,null,null
2015-12-03,null,null,null,null,null,null
2015-12-04,null,null,null,null,null,null
2015-12-07,null,null,null,null,null,null
2015-12-08,null,null,null,null,null,null
2015-12-09,null,null,null,null,null,null
2015-12-10,null,null,null,null,null,null
2015-12-11,null,null,null,null,null,null
2015-12-14,null,null,null,null,null,null
2015-12-15,null,null,null,null,null,null
2015-12-16,null,null,null,null,null,null
2015-12-17,null,null,null,null,null,null
2015-12-18,null,null,null,null,null,null
2015-12-21,null,null,null,null,null,null
2015-12-22,null,null,null,null,null,null
2015-12-23,null,null,null,null,null,null
2015-12-24,null,null,null,null,null,null
2015-12-28,null,null,null,null,null,null
2015-12-29,null,null,null,null,null,null
2015-12-30,null,null,null,null,null,null
2015-12-31,null,null,null,null,null,null
2016-01-01,null,null,null,null,null,null
2016-01-04,null,null,null,null,null,null
2016-01-05,null,null,null,null,null,null
2016-01-06,null,null,null,null,null,null
2016-01-07,null,null,null,null,null,null
2016-01-08,null,null,null,null,null,null
2016-01-11,null,null,null,null,null,null
2016-01-12,null,null,null,null,null,null
2016-01-13,null,null,null,null,null,null
2016-01-14,null,null,null,null,null,null
2016-01-15,null,null,null,null,null,null
2016-01-18,null,null,null,null,null,null
2016-01-19,null,null,null,null,null,null
2016-01-20,null,null,null,null,null,null
2016-01-21,null,null,null,null,null,null
2016-01-22,null,null,null,null,null,null
2016-01-25,null,null,null,null,null,null
2016-01-27,null,null,null,null,null,null
2016-01-28,null,null,null,null,null,null
2016-01-29,null,null,null,null,null,null
2016-02-01,null,null,null,null,null,null
2016-02-02,null,null,null,null,null,null
2016-02-03,null,null,null,null,null,null
2016-02-04,null,null,null,null,null,null
2016-02-05,null,null,null,null,null,null
2016-02-08,null,null,null,null,null,null
2016-02-09,null,null,null,null,null,null
2016-02-10,null,null,null,null,null,null
2016-02-11,null,null,null,null,null,null
2016-02-12,null,null,null,null,null,null
2016-02-15,null,null,null,null,null,null
2016-02-16,null,null,null,null,null,null
2016-02-17,null,null,null,null,null,null
2016-02-18,null,null,null,null,null,null
2016-02-19,null,null,null,null,null,null
2016-02-22,null,null,null,null,null,null
2016-02-23,null,null,null,null,null,null
2016-02-24,null,null,null,null,null,null
2016-02-25,null,null,null,null,null,null
2016-02-26,null,null,null,null,null,null
2016-02-29,null,null,null,null,null,null
2016-03-01,null,null,null,null,null,null
2016-03-02,null,null,null,null,null,null
2016-03-03,null,null,null,null,null,null
2016-03-04,15.510000,15.510000,15.510000,15.510000,15.510000,0
2016-03-08,null,null,null,null,null,null
2016-03-09,null,null,null,null,null,null
2016-03-10,null,null,null,null,null,null
2016-03-11,null,null,null,null,null,null
2016-03-14,null,null,null,null,null,null
2016-03-15,null,null,null,null,null,null
2016-03-16,null,null,null,null,null,null
2016-03-17,null,null,null,null,null,null
2016-03-18,null,null,null,null,null,null
2016-03-21,null,null,null,null,null,null
2016-03-22,null,null,null,null,null,null
2016-03-23,null,null,null,null,null,null
2016-03-28,null,null,null,null,null,null
2016-03-29,null,null,null,null,null,null
2016-03-30,null,null,null,null,null,null
2016-03-31,null,null,null,null,null,null
2016-04-01,null,null,null,null,null,null
2016-04-04,null,null,null,null,null,null
2016-04-05,null,null,null,null,null,null
2016-04-06,null,null,null,null,null,null
2016-04-07,null,null,null,null,null,null
2016-04-08,null,null,null,null,null,null
2016-04-11,null,null,null,null,null,null
2016-04-12,null,null,null,null,null,null
2016-04-13,null,null,null,null,null,null
2016-04-18,null,null,null,null,null,null
2016-04-20,null,null,null,null,null,null
2016-04-21,null,null,null,null,null,null
2016-04-22,null,null,null,null,null,null
2016-04-25,null,null,null,null,null,null
2016-04-26,null,null,null,null,null,null
2016-04-27,null,null,null,null,null,null
2016-04-28,null,null,null,null,null,null
2016-04-29,null,null,null,null,null,null
2016-05-02,null,null,null,null,null,null
2016-05-03,null,null,null,null,null,null
2016-05-04,null,null,null,null,null,null
2016-05-05,null,null,null,null,null,null
2016-05-06,null,null,null,null,null,null
2016-05-09,null,null,null,null,null,null
2016-05-10,null,null,null,null,null,null
2016-05-11,null,null,null,null,null,null
2016-05-12,null,null,null,null,null,null
2016-05-13,null,null,null,null,null,null
2016-05-16,16.150000,16.150000,16.150000,16.150000,16.150000,0
2016-05-17,null,null,null,null,null,null
2016-05-18,16.000000,16.000000,16.000000,16.000000,16.000000,0
2016-05-19,null,null,null,null,null,null
2016-05-20,null,null,null,null,null,null
2016-05-23,null,null,null,null,null,null
2016-05-24,null,null,null,null,null,null
2016-05-25,null,null,null,null,null,null
2016-05-26,null,null,null,null,null,null
2016-05-27,null,null,null,null,null,null
2016-05-30,null,null,null,null,null,null
2016-05-31,null,null,null,null,null,null
2016-06-01,null,null,null,null,null,null
2016-06-02,null,null,null,null,null,null
2016-06-03,null,null,null,null,null,null
2016-06-06,null,null,null,null,null,null
2016-06-07,null,null,null,null,null,null
2016-06-08,null,null,null,null,null,null
2016-06-09,null,null,null,null,null,null
2016-06-10,null,null,null,null,null,null
2016-06-13,null,null,null,null,null,null
2016-06-14,null,null,null,null,null,null
2016-06-15,null,null,null,null,null,null
2016-06-16,null,null,null,null,null,null
2016-06-17,null,null,null,null,null,null
2016-06-20,null,null,null,null,null,null
2016-06-21,null,null,null,null,null,null
2016-06-22,null,null,null,null,null,null
2016-06-23,null,null,null,null,null,null
2016-06-24,null,null,null,null,null,null
2016-06-27,null,null,null,null,null,null
2016-06-28,null,null,null,null,null,null
2016-06-29,null,null,null,null,null,null
